date,cases,deaths
4/1/2020,215391,5325
4/2/2020,245108,6541
4/3/2020,277426,7932
4/4/2020,312525,9488
4/5/2020,338141,10856
4/6/2020,369057,12382
4/7/2020,399394,14616
4/8/2020,431214,16701
4/9/2020,465913,18821
4/10/2020,499386,21084
4/11/2020,531106,23168
4/12/2020,558249,24849
4/13/2020,584018,26613
4/14/2020,610709,29318
4/15/2020,640742,32070
4/16/2020,672355,34419
4/17/2020,703864,36708
4/18/2020,732262,38659
4/19/2020,757596,40179
4/20/2020,784926,42016
4/21/2020,810434,44688
4/22/2020,839266,47059
4/23/2020,873039,49228
4/24/2020,909778,51360
4/25/2020,944186,53327
4/26/2020,970921,54580
4/27/2020,994110,56022
4/28/2020,1018744,58416
4/29/2020,1045298,60930
4/30/2020,1075637,63140
