date,cases,deaths
3/1/2020,88,3
3/2/2020,104,6
3/3/2020,125,10
3/4/2020,161,12
3/5/2020,228,12
3/6/2020,311,15
3/7/2020,428,19
3/8/2020,547,22
3/9/2020,748,26
3/10/2020,1018,31
3/11/2020,1263,37
3/12/2020,1668,43
3/13/2020,2224,50
3/14/2020,2898,60
3/15/2020,3600,68
3/16/2020,4507,91
3/17/2020,5906,117
3/18/2020,8350,162
3/19/2020,12393,212
3/20/2020,18012,277
3/21/2020,24528,360
3/22/2020,33073,458
3/23/2020,43505,579
3/24/2020,53938,785
3/25/2020,68572,1054
3/26/2020,85570,1353
3/27/2020,102900,1770
3/28/2020,123966,2300
3/29/2020,142486,2718
3/30/2020,163955,3368
3/31/2020,188461,4304
