date,cases,deaths
7/1/2020,2703296,128104
7/2/2020,2758851,128827
7/3/2020,2815374,129417
7/4/2020,2866014,129679
7/5/2020,2910780,129941
7/6/2020,2958095,130332
7/7/2020,3012252,131290
7/8/2020,3071711,132238
7/9/2020,3131610,133079
7/10/2020,3199837,133907
7/11/2020,3260565,134582
7/12/2020,3318372,134977
7/13/2020,3379943,135402
7/14/2020,3445544,136356
7/15/2020,3513892,137327
7/16/2020,3589589,138285
7/17/2020,3660512,139186
7/18/2020,3722966,139961
7/19/2020,3785241,140373
7/20/2020,3845124,140904
7/21/2020,3910398,142031
7/22/2020,3980128,143167
7/23/2020,4050126,144283
7/24/2020,4123651,145430
7/25/2020,4190422,146314
7/26/2020,4244634,146754
7/27/2020,4303813,148450
7/28/2020,4366922,149774
7/29/2020,4435382,151194
7/30/2020,4502549,152431
7/31/2020,4570295,153855
