date,cases,deaths
6/1/2020,1820930,105113
6/2/2020,1841716,106195
6/3/2020,1861695,107184
6/4/2020,1883309,108192
6/5/2020,1912006,109304
6/6/2020,1934522,110032
6/7/2020,1953138,110422
6/8/2020,1971339,111144
6/9/2020,1990143,112174
6/10/2020,2013298,113103
6/11/2020,2036500,113980
6/12/2020,2061993,114759
6/13/2020,2087327,115451
6/14/2020,2106457,115768
6/15/2020,2126574,116216
6/16/2020,2151459,116985
6/17/2020,2177114,117746
6/18/2020,2205173,118473
6/19/2020,2236009,119171
6/20/2020,2268034,119717
6/21/2020,2294413,119974
6/22/2020,2324879,120334
6/23/2020,2359937,121167
6/24/2020,2396926,121934
6/25/2020,2438099,124400
6/26/2020,2483625,125033
6/27/2020,2525929,125544
6/28/2020,2565007,125814
6/29/2020,2604924,126162
6/30/2020,2653319,127462
