date,cases,deaths
5/1/2020,1109601,64902
5/2/2020,1139075,66485
5/3/2020,1165215,67816
5/4/2020,1187176,68905
5/5/2020,1210881,71139
5/6/2020,1235366,73847
5/7/2020,1263841,75805
5/8/2020,1291483,77380
5/9/2020,1316351,78834
5/10/2020,1336668,79766
5/11/2020,1354286,80748
5/12/2020,1376585,82400
5/13/2020,1397726,84168
5/14/2020,1424687,85906
5/15/2020,1450910,87499
5/16/2020,1474569,88724
5/17/2020,1493583,89568
5/18/2020,1515403,90414
5/19/2020,1536371,91934
5/20/2020,1559435,93411
5/21/2020,1585168,94722
5/22/2020,1608961,96010
5/23/2020,1631229,97060
5/24/2020,1651260,97680
5/25/2020,1670360,98190
5/26/2020,1689249,98937
5/27/2020,1707990,100422
5/28/2020,1730458,101622
5/29/2020,1755005,102812
5/30/2020,1778402,103775
5/31/2020,1799036,104379
